key,palabras
,a
b,aba
b,abaá
bbllrs,ababillarse
bbl,ababol
bc,abacá
bcl,abacal
bclr,abacalera
bclr,abacalero
bcr,abacera
bcr,abacería
bcr,abacero
bcl,abacial
bc,ábaco
bcr,abacora
bcrr,abacorar
bd,abad
bd,abada
bdj,abadejo
bdng,abadenga
bdng,abadengo
bdrnr,abadernar
bds,abadesa
bd,abadí
bd,abadía
bdd,abadiado
bdt,abadiato
btrn,ab aeterno
bjdr,abajadero
bjmnt,abajamiento
bjr,abajar
bjñ,abajeña
bjñ,abajeño
bjr,abajera
bj,abajo
bk,abakuá
bld,abalada
blnzr,abalanzar
blstrd,abalaustrada
blstrd,abalaustrado
blcnd,abalconada
blcnd,abalconado
bldnr,abaldonar
blr,abalear
bl,abaleo
blzr,abalizar
bllr,aballar
bllstr,aballestar
blr,abalorio
blrtr,abaluartar
bndr,abanador
bnr,abanar
bnclr,abancalar
bnd,abanda
bndrd,abanderada
bndrd,abanderado
bndrmnt,abanderamiento
bndrr,abanderar
bndrzr,abanderizar
bndnd,abandonada
bndnd,abandonado
bndnmnt,abandonamiento
bndnr,abandonar
bndnsm,abandonismo
bndnst,abandonista
bndn,abandono
bncr,abanicar
bncz,abanicazo
bnc,abanico
bnll,abanillo
bnn,abanino
bnq,abaniqueo
bnqr,abaniquera
bnqr,abaniquería
bnqr,abaniquero
bn,abano
bnqn,abanquina
bnqn,abanquino
bnt,abanta
bnt,abanto
brjr,abarajar
brtmnt,abaratamiento
brtr,abaratar
brbtr,abarbetar
brc,abarca
brcbl,abarcable
brcdr,abarcador
brcdr,abarcadora
brcmnt,abarcamiento
brcr,abarcar
brcn,abarcón
brtnd,abaritonada
brtnd,abaritonado
brlr,abarloar
brq,abarque
brqr,abarquera
brqr,abarquero
brqlld,abarquillada
brqlld,abarquillado
brqllmnt,abarquillamiento
brqllr,abarquillar
brrcr,abarracar
brrgnmnt,abarraganamiento
brrgnrs,abarraganarse
brrjd,abarrajada
brrjd,abarrajado
brrjr,abarrajar
brrncd,abarrancada
brrncd,abarrancado
brrncmnt,abarrancamiento
brrncr,abarrancar
brrr,abarrar
brrz,abarraz
brrcd,abarrocada
brrcd,abarrocado
brrtmnt,abarrotamiento
brrtr,abarrotar
brrt,abarrote
brrtr,abarrotera
brrtr,abarrotería
brrtr,abarrotero
brs,abarse
bs,abasí
bsd,abasida
bstdmnt,abastadamente
bstmnt,abastamiento
bstnz,abastanza
bstr,abastar
bstcdr,abastecedor
bstcdr,abastecedora
bstcr,abastecer
